# Aggregated Statistics
# n_runs,5
# total_graphs_per_run,80

## Results (Matching vs Pauli)
category,count_mean,count_std,count_min,count_max,pct_mean,pct_std
WIN,9.20,1.47,7,11,11.50%,1.84%
LOSE,69.20,1.33,67,71,86.50%,1.66%
DRAW,1.60,1.36,0,4,2.00%,1.70%

## Gate Counts by Category
metric,mean,std,min,max
draw_matching_cx,18.69,1.85,16.00,20.75
draw_matching_depth,31.69,2.71,28.00,35.25
draw_pauli_cx,18.69,1.85,16.00,20.75
draw_pauli_depth,34.25,3.56,29.00,38.00
lose_matching_cx,32.46,2.73,29.21,35.89
lose_matching_depth,53.47,4.23,48.25,58.54
lose_pauli_cx,19.92,0.13,19.72,20.10
lose_pauli_depth,37.27,0.27,36.90,37.63
win_matching_cx,13.13,0.42,12.50,13.60
win_matching_depth,23.51,0.63,22.40,24.20
win_pauli_cx,16.40,0.35,16.09,17.00
win_pauli_depth,29.87,0.63,29.20,30.90

## Graph Properties by Category
metric,mean,std,min,max
config_graph_type,,,,
draw_graph_avg_clustering,0.1400,0.1032,0.0000,0.2900
draw_graph_avg_degree,2.1225,0.0884,2.0000,2.2500
draw_graph_clique_number,2.5000,0.3536,2.0000,3.0000
draw_graph_diameter,5.0000,0.7071,4.0000,6.0000
draw_graph_edge_count,8.5000,0.3536,8.0000,9.0000
draw_graph_edge_density,0.3025,0.0109,0.2900,0.3200
draw_graph_estimated_group_size,2.0000,0.0000,2.0000,2.0000
draw_graph_estimated_orbit_count,3.0625,0.1083,3.0000,3.2500
draw_graph_is_bipartite,0.5000,0.3536,0.0000,1.0000
draw_graph_max_degree,3.0625,0.1083,3.0000,3.2500
lose_graph_avg_clustering,0.1400,0.0000,0.1400,0.1400
lose_graph_avg_degree,2.2200,0.0000,2.2200,2.2200
lose_graph_clique_number,2.6200,0.0089,2.6100,2.6300
lose_graph_diameter,4.3520,0.0248,4.3200,4.3900
lose_graph_edge_count,8.8820,0.0147,8.8700,8.9000
lose_graph_edge_density,0.3200,0.0000,0.3200,0.3200
lose_graph_estimated_group_size,2.0000,0.0000,2.0000,2.0000
lose_graph_estimated_orbit_count,3.1780,0.0075,3.1700,3.1900
lose_graph_is_bipartite,0.1680,0.0147,0.1500,0.1900
lose_graph_max_degree,3.3500,0.0063,3.3400,3.3600
win_graph_avg_clustering,0.0580,0.0075,0.0500,0.0700
win_graph_avg_degree,2.1080,0.0194,2.0700,2.1200
win_graph_clique_number,2.1480,0.0371,2.1000,2.2000
win_graph_diameter,4.6700,0.1243,4.5000,4.8600
win_graph_edge_count,8.4480,0.0813,8.2900,8.5000
win_graph_edge_density,0.3000,0.0000,0.3000,0.3000
win_graph_estimated_group_size,2.0000,0.0000,2.0000,2.0000
win_graph_estimated_orbit_count,2.7020,0.0977,2.5700,2.8200
win_graph_is_bipartite,0.5980,0.0904,0.4300,0.7000
win_graph_max_degree,2.8340,0.0859,2.7100,2.9100

## Timing Statistics (seconds)
metric,mean,std,min,max
Avg Per Graph,0.030000,0.000000,0.030000,0.030000
Max Per Graph,0.062000,0.014697,0.040000,0.080000
Min Per Graph,0.020000,0.000000,0.020000,0.020000
Total Analysis,2.158000,0.041665,2.080000,2.190000

## Summary
win_rate,11.5% +/- 1.8%
lose_rate,86.5% +/- 1.7%
