graph_index,n_vertices,n_edges,n_components,isolated_vertices,avg_degree,max_degree,density,is_bipartite,diameter,clique_number,avg_clustering,estimated_group_size,estimated_orbit_count,avg_hamming,min_hamming,max_hamming,hamming_1_count,hamming_gt1_count
0,8,7,1,0,1.75,2,0.25,1,7,2,0.0,2,2,1.5714285714285714,1,3,4,3
1,8,8,1,0,2.0,3,0.2857142857142857,1,5,2,0.0,2,3,1.625,1,3,4,4
2,8,8,1,0,2.0,3,0.2857142857142857,0,5,2,0.0,2,3,1.5,1,3,5,3
3,8,8,1,0,2.0,3,0.2857142857142857,0,6,3,0.20833333333333331,2,3,1.5,1,3,5,3
4,8,8,1,0,2.0,3,0.2857142857142857,0,4,2,0.0,2,3,1.625,1,3,4,4
5,8,8,1,0,2.0,3,0.2857142857142857,1,6,2,0.0,2,3,1.625,1,3,4,4
6,8,8,1,0,2.0,2,0.2857142857142857,1,4,2,0.0,2,1,1.75,1,3,4,4
7,8,8,1,0,2.0,3,0.2857142857142857,1,5,2,0.0,2,3,1.75,1,3,4,4
8,8,8,1,0,2.0,3,0.2857142857142857,1,5,2,0.0,2,3,1.625,1,3,4,4
9,8,8,1,0,2.0,3,0.2857142857142857,0,4,2,0.0,2,3,1.5,1,3,5,3
10,8,8,1,0,2.0,3,0.2857142857142857,0,6,3,0.20833333333333331,2,3,1.625,1,3,4,4
11,8,8,1,0,2.0,3,0.2857142857142857,1,4,2,0.0,2,3,1.75,1,3,4,4
12,8,8,1,0,2.0,3,0.2857142857142857,0,6,3,0.29166666666666663,2,3,1.5,1,3,5,3
13,8,9,1,0,2.25,3,0.32142857142857145,0,5,3,0.20833333333333331,2,3,1.5555555555555556,1,3,5,4
14,8,9,1,0,2.25,3,0.32142857142857145,1,4,2,0.0,2,2,1.6666666666666667,1,3,4,5
15,8,9,1,0,2.25,3,0.32142857142857145,0,5,3,0.20833333333333331,2,3,1.4444444444444444,1,3,6,3
16,8,9,1,0,2.25,3,0.32142857142857145,0,4,3,0.20833333333333331,2,3,1.5555555555555556,1,3,5,4
17,8,9,1,0,2.25,3,0.32142857142857145,0,5,3,0.125,2,3,1.5555555555555556,1,3,5,4
18,8,9,1,0,2.25,4,0.32142857142857145,0,4,3,0.1875,2,4,1.5555555555555556,1,3,5,4
19,8,9,1,0,2.25,4,0.32142857142857145,0,4,3,0.1875,2,4,1.6666666666666667,1,3,4,5
20,8,9,1,0,2.25,3,0.32142857142857145,1,5,2,0.0,2,3,1.7777777777777777,1,3,4,5
21,8,9,1,0,2.25,3,0.32142857142857145,0,4,3,0.20833333333333331,2,2,1.5555555555555556,1,3,5,4
22,8,9,1,0,2.25,3,0.32142857142857145,0,5,3,0.125,2,3,1.6666666666666667,1,3,4,5
23,8,9,1,0,2.25,3,0.32142857142857145,0,3,2,0.0,2,2,1.5555555555555556,1,3,5,4
24,8,9,1,0,2.25,3,0.32142857142857145,0,4,3,0.20833333333333331,2,3,1.5555555555555556,1,3,5,4
25,8,9,1,0,2.25,4,0.32142857142857145,0,5,3,0.2916666666666667,2,4,1.7777777777777777,1,3,4,5
26,8,9,1,0,2.25,3,0.32142857142857145,0,4,2,0.0,2,3,1.5555555555555556,1,3,5,4
27,8,9,1,0,2.25,4,0.32142857142857145,0,3,2,0.0,2,4,1.6666666666666667,1,3,4,5
28,8,9,1,0,2.25,3,0.32142857142857145,0,4,2,0.0,2,3,1.4444444444444444,1,3,6,3
29,8,9,1,0,2.25,4,0.32142857142857145,0,4,3,0.2708333333333333,2,4,1.6666666666666667,1,3,5,4
30,8,9,1,0,2.25,3,0.32142857142857145,0,4,2,0.0,2,2,1.6666666666666667,1,3,5,4
31,8,9,1,0,2.25,4,0.32142857142857145,1,4,2,0.0,2,4,1.7777777777777777,1,3,4,5
32,8,9,1,0,2.25,3,0.32142857142857145,0,5,3,0.2916666666666667,2,2,1.5555555555555556,1,3,5,4
33,8,9,1,0,2.25,4,0.32142857142857145,0,4,3,0.10416666666666666,2,4,1.6666666666666667,1,3,5,4
34,8,9,1,0,2.25,3,0.32142857142857145,0,6,3,0.3333333333333333,2,3,1.5555555555555556,1,3,5,4
35,8,9,1,0,2.25,4,0.32142857142857145,0,5,3,0.375,2,4,1.5555555555555556,1,3,5,4
36,8,9,1,0,2.25,3,0.32142857142857145,0,4,2,0.0,2,3,1.4444444444444444,1,3,6,3
37,8,9,1,0,2.25,3,0.32142857142857145,0,4,3,0.20833333333333331,2,3,1.5555555555555556,1,3,5,4
38,8,9,1,0,2.25,4,0.32142857142857145,0,5,3,0.1875,2,4,1.5555555555555556,1,3,5,4
39,8,9,1,0,2.25,4,0.32142857142857145,0,4,3,0.1875,2,4,1.7777777777777777,1,3,4,5
40,8,9,1,0,2.25,3,0.32142857142857145,0,4,3,0.125,2,3,1.4444444444444444,1,3,6,3
41,8,9,1,0,2.25,4,0.32142857142857145,0,4,3,0.1875,2,4,1.5555555555555556,1,3,5,4
42,8,9,1,0,2.25,3,0.32142857142857145,0,4,2,0.0,2,3,1.6666666666666667,1,3,4,5
43,8,9,1,0,2.25,3,0.32142857142857145,1,4,2,0.0,2,3,1.8888888888888888,1,3,4,5
44,8,9,1,0,2.25,4,0.32142857142857145,0,5,3,0.2916666666666667,2,4,1.6666666666666667,1,3,4,5
45,8,9,1,0,2.25,4,0.32142857142857145,0,4,3,0.10416666666666666,2,4,1.5555555555555556,1,3,5,4
46,8,9,1,0,2.25,4,0.32142857142857145,0,4,2,0.0,2,2,1.5555555555555556,1,3,5,4
47,8,9,1,0,2.25,3,0.32142857142857145,0,5,3,0.4166666666666667,2,3,1.4444444444444444,1,3,6,3
48,8,9,1,0,2.25,3,0.32142857142857145,0,3,2,0.0,2,2,1.6666666666666667,1,3,4,5
49,8,9,1,0,2.25,3,0.32142857142857145,0,5,3,0.20833333333333331,2,3,1.5555555555555556,1,3,5,4
50,8,9,1,0,2.25,3,0.32142857142857145,0,4,2,0.0,2,3,1.5555555555555556,1,3,5,4
51,8,9,1,0,2.25,3,0.32142857142857145,1,5,2,0.0,2,3,1.6666666666666667,1,3,4,5
52,8,9,1,0,2.25,3,0.32142857142857145,0,5,3,0.5,2,3,1.4444444444444444,1,3,6,3
53,8,9,1,0,2.25,4,0.32142857142857145,0,5,3,0.45833333333333337,2,4,1.5555555555555556,1,3,5,4
54,8,9,1,0,2.25,4,0.32142857142857145,0,4,3,0.1875,2,4,1.4444444444444444,1,3,6,3
55,8,9,1,0,2.25,4,0.32142857142857145,0,4,3,0.1875,2,4,1.4444444444444444,1,3,6,3
56,8,9,1,0,2.25,4,0.32142857142857145,0,5,3,0.1875,2,4,1.6666666666666667,1,3,4,5
57,8,9,1,0,2.25,3,0.32142857142857145,1,4,2,0.0,2,3,1.7777777777777777,1,3,4,5
58,8,9,1,0,2.25,3,0.32142857142857145,1,5,2,0.0,2,3,1.6666666666666667,1,3,4,5
59,8,9,1,0,2.25,3,0.32142857142857145,0,5,3,0.125,2,3,1.5555555555555556,1,3,5,4
60,8,9,1,0,2.25,3,0.32142857142857145,0,4,3,0.20833333333333331,2,3,1.7777777777777777,1,3,4,5
61,8,9,1,0,2.25,3,0.32142857142857145,0,4,3,0.29166666666666663,2,3,1.5555555555555556,1,3,5,4
62,8,9,1,0,2.25,3,0.32142857142857145,0,4,2,0.0,2,3,1.6666666666666667,1,3,4,5
63,8,9,1,0,2.25,3,0.32142857142857145,0,4,3,0.125,2,3,1.5555555555555556,1,3,5,4
64,8,9,1,0,2.25,3,0.32142857142857145,0,6,3,0.24999999999999997,2,3,1.5555555555555556,1,3,5,4
65,8,9,1,0,2.25,3,0.32142857142857145,0,5,3,0.5,2,3,1.5555555555555556,1,3,5,4
66,8,9,1,0,2.25,4,0.32142857142857145,1,4,2,0.0,2,4,1.7777777777777777,1,3,4,5
67,8,9,1,0,2.25,4,0.32142857142857145,0,3,3,0.2708333333333333,2,4,1.4444444444444444,1,3,6,3
68,8,9,1,0,2.25,4,0.32142857142857145,0,3,3,0.1875,2,4,1.6666666666666667,1,3,5,4
69,8,9,1,0,2.25,3,0.32142857142857145,1,3,2,0.0,2,2,1.6666666666666667,1,3,4,5
70,8,9,1,0,2.25,4,0.32142857142857145,0,4,3,0.10416666666666666,2,4,1.6666666666666667,1,3,5,4
71,8,9,1,0,2.25,3,0.32142857142857145,0,4,3,0.29166666666666663,2,2,1.4444444444444444,1,3,6,3
72,8,9,1,0,2.25,3,0.32142857142857145,0,4,3,0.20833333333333331,2,3,1.5555555555555556,1,3,5,4
73,8,9,1,0,2.25,3,0.32142857142857145,0,3,2,0.0,2,3,1.5555555555555556,1,3,5,4
74,8,9,1,0,2.25,4,0.32142857142857145,0,4,3,0.27083333333333337,2,2,1.5555555555555556,1,3,5,4
75,8,9,1,0,2.25,4,0.32142857142857145,0,5,3,0.29166666666666663,2,4,1.5555555555555556,1,3,5,4
76,8,9,1,0,2.25,3,0.32142857142857145,1,4,2,0.0,2,3,1.7777777777777777,1,3,4,5
77,8,9,1,0,2.25,4,0.32142857142857145,1,4,2,0.0,2,4,1.6666666666666667,1,3,4,5
78,8,9,1,0,2.25,3,0.32142857142857145,0,4,2,0.0,2,3,1.5555555555555556,1,3,5,4
79,8,9,1,0,2.25,3,0.32142857142857145,0,4,2,0.0,2,3,1.4444444444444444,1,3,6,3
