graph_index,n_vertices,n_edges,n_components,isolated_vertices,avg_degree,max_degree,density,is_bipartite,diameter,clique_number,avg_clustering,estimated_group_size,estimated_orbit_count,avg_hamming,min_hamming,max_hamming,hamming_1_count,hamming_gt1_count
0,32,3,29,27,0.1875,2,0.006048387096774193,1,-1,2,0.0,8,3,3.0,2,4,0,3
1,32,9,23,19,0.5625,3,0.018145161290322582,1,-1,2,0.0,8,4,1.7777777777777777,1,3,4,5
2,32,7,25,21,0.4375,2,0.014112903225806451,1,-1,2,0.0,8,3,1.5714285714285714,1,3,4,3
3,32,4,28,24,0.25,1,0.008064516129032258,1,-1,2,0.0,8,2,3.0,1,5,1,3
4,32,4,28,25,0.25,2,0.008064516129032258,1,-1,2,0.0,8,3,2.5,2,3,0,4
5,32,8,24,18,0.5,2,0.016129032258064516,1,-1,2,0.0,8,3,1.875,1,4,4,4
6,32,6,26,21,0.375,2,0.012096774193548387,1,-1,2,0.0,8,3,2.0,1,3,2,4
7,32,6,26,23,0.375,3,0.012096774193548387,1,-1,2,0.0,8,4,1.8333333333333333,1,3,3,3
8,32,3,29,26,0.1875,1,0.006048387096774193,1,-1,2,0.0,8,2,1.6666666666666667,1,3,2,1
9,32,8,24,18,0.5,2,0.016129032258064516,1,-1,2,0.0,8,3,2.125,1,5,4,4
10,32,10,22,14,0.625,2,0.020161290322580645,1,-1,2,0.0,8,3,1.6,1,3,5,5
11,32,10,22,15,0.625,2,0.020161290322580645,1,-1,2,0.0,8,3,1.6,1,3,5,5
12,32,9,23,19,0.5625,3,0.018145161290322582,1,-1,2,0.0,8,4,2.111111111111111,1,4,3,6
13,32,10,22,16,0.625,2,0.020161290322580645,1,-1,2,0.0,8,3,1.7,1,3,4,6
14,32,7,25,20,0.4375,2,0.014112903225806451,1,-1,2,0.0,8,3,1.4285714285714286,1,2,4,3
15,32,10,22,15,0.625,2,0.020161290322580645,1,-1,2,0.0,8,3,2.1,1,5,5,5
16,32,7,25,20,0.4375,2,0.014112903225806451,1,-1,2,0.0,8,3,2.7142857142857144,1,5,2,5
17,32,5,27,23,0.3125,2,0.010080645161290322,1,-1,2,0.0,8,3,2.0,1,3,2,3
18,32,5,27,24,0.3125,2,0.010080645161290322,1,-1,2,0.0,8,3,3.0,1,5,1,4
19,32,10,22,18,0.625,2,0.020161290322580645,1,-1,2,0.0,8,3,1.3,1,2,7,3
20,32,8,24,17,0.5,2,0.016129032258064516,1,-1,2,0.0,8,3,1.875,1,4,3,5
21,32,10,22,16,0.625,3,0.020161290322580645,1,-1,2,0.0,8,4,1.6,1,3,5,5
22,32,9,23,19,0.5625,2,0.018145161290322582,1,-1,2,0.0,8,3,1.7777777777777777,1,4,5,4
23,32,8,24,20,0.5,2,0.016129032258064516,1,-1,2,0.0,8,3,1.875,1,3,3,5
24,32,10,22,16,0.625,2,0.020161290322580645,1,-1,2,0.0,8,3,1.7,1,4,5,5
25,32,9,23,16,0.5625,2,0.018145161290322582,1,-1,2,0.0,8,3,2.0,1,3,3,6
26,32,7,25,18,0.4375,1,0.014112903225806451,1,-1,2,0.0,8,2,3.2857142857142856,1,5,3,4
27,32,5,27,22,0.3125,1,0.010080645161290322,1,-1,2,0.0,8,2,2.2,2,3,0,5
28,32,9,23,17,0.5625,2,0.018145161290322582,1,-1,2,0.0,8,3,2.4444444444444446,1,5,2,7
29,32,9,23,18,0.5625,2,0.018145161290322582,1,-1,2,0.0,8,3,2.4444444444444446,1,5,3,6
30,32,4,28,26,0.25,2,0.008064516129032258,1,-1,2,0.0,8,3,1.5,1,2,2,2
31,32,10,22,17,0.625,2,0.020161290322580645,1,-1,2,0.0,8,3,2.9,1,5,2,8
32,32,6,26,23,0.375,2,0.012096774193548387,1,-1,2,0.0,8,3,2.6666666666666665,1,5,1,5
33,32,6,26,20,0.375,1,0.012096774193548387,1,-1,2,0.0,8,2,2.3333333333333335,1,5,2,4
34,32,6,26,22,0.375,2,0.012096774193548387,1,-1,2,0.0,8,3,1.6666666666666667,1,3,3,3
35,32,10,22,16,0.625,2,0.020161290322580645,1,-1,2,0.0,8,3,2.4,1,5,4,6
36,32,7,25,21,0.4375,2,0.014112903225806451,1,-1,2,0.0,8,3,1.7142857142857142,1,3,4,3
37,32,9,23,15,0.5625,2,0.018145161290322582,1,-1,2,0.0,8,3,2.6666666666666665,1,5,1,8
38,32,9,23,20,0.5625,3,0.018145161290322582,1,-1,2,0.0,8,4,1.4444444444444444,1,3,6,3
39,32,10,22,17,0.625,2,0.020161290322580645,1,-1,2,0.0,8,3,2.7,1,5,3,7
40,32,8,24,19,0.5,2,0.016129032258064516,1,-1,2,0.0,8,3,2.5,1,4,1,7
41,32,6,26,23,0.375,2,0.012096774193548387,1,-1,2,0.0,8,3,2.0,1,5,3,3
42,32,6,26,22,0.375,2,0.012096774193548387,1,-1,2,0.0,8,3,2.3333333333333335,1,5,3,3
43,32,10,22,18,0.625,2,0.020161290322580645,1,-1,2,0.0,8,3,2.4,1,5,3,7
44,32,7,25,19,0.4375,2,0.014112903225806451,1,-1,2,0.0,8,3,2.142857142857143,1,3,2,5
45,32,8,24,19,0.5,2,0.016129032258064516,1,-1,2,0.0,8,3,1.625,1,3,4,4
46,32,10,22,19,0.625,3,0.020161290322580645,1,-1,2,0.0,8,4,1.7,1,2,3,7
47,32,10,22,17,0.625,2,0.020161290322580645,1,-1,2,0.0,8,3,2.7,1,5,3,7
48,32,8,24,19,0.5,2,0.016129032258064516,1,-1,2,0.0,8,3,1.25,1,2,6,2
49,32,10,23,17,0.625,2,0.020161290322580645,0,-1,3,0.09375,8,3,2.4,1,5,2,8
50,32,9,23,18,0.5625,2,0.018145161290322582,1,-1,2,0.0,8,3,2.2222222222222223,1,5,4,5
51,32,8,24,20,0.5,2,0.016129032258064516,1,-1,2,0.0,8,3,2.125,1,3,1,7
