n_qubits,n_vertices,n_edges,n_matchings,matching_cx,matching_u3,matching_depth,pauli_cx,pauli_u3,pauli_depth,cx_diff,cx_ratio,graph_index,graph_type,source_file
2,4,1,1,2,5,5,2,3,5,0,1.0,0,erdos_renyi_p0_10,7graph_erdos_renyi_p0_10_4v.g6
2,4,2,2,2,6,5,2,6,5,0,1.0,1,erdos_renyi_p0_10,7graph_erdos_renyi_p0_10_4v.g6
2,4,2,1,2,1,3,2,5,5,0,1.0,2,erdos_renyi_p0_10,7graph_erdos_renyi_p0_10_4v.g6
2,4,3,3,3,8,7,3,8,7,0,1.0,3,erdos_renyi_p0_10,7graph_erdos_renyi_p0_10_4v.g6
2,4,3,3,3,8,7,3,8,7,0,1.0,4,erdos_renyi_p0_10,7graph_erdos_renyi_p0_10_4v.g6
2,4,3,2,2,6,5,2,6,5,0,1.0,5,erdos_renyi_p0_10,7graph_erdos_renyi_p0_10_4v.g6
2,4,4,3,2,6,5,2,6,5,0,1.0,6,erdos_renyi_p0_10,7graph_erdos_renyi_p0_10_4v.g6
3,8,3,2,26,35,45,19,27,34,7,1.368421052631579,0,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,5,3,28,34,47,17,34,35,11,1.6470588235294117,1,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,7,5,30,38,51,19,35,39,11,1.5789473684210527,2,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,2,1,19,21,30,16,26,29,3,1.1875,3,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,1,1,9,13,16,8,12,16,1,1.125,4,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,3,1,26,31,43,21,32,40,5,1.2380952380952381,5,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,4,3,36,43,60,20,31,38,16,1.8,6,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
