n_qubits,n_vertices,n_edges,n_matchings,matching_cx,matching_u3,matching_depth,pauli_cx,pauli_u3,pauli_depth,cx_diff,cx_ratio,graph_index,graph_type,source_file
3,8,3,2,28,30,45,19,27,34,9,1.4736842105263157,0,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,5,4,27,36,46,17,34,35,10,1.588235294117647,1,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,7,5,30,38,51,19,35,39,11,1.5789473684210529,2,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,2,2,19,21,31,16,26,29,3,1.1875,3,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,1,1,9,13,16,8,12,16,1,1.125,4,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,3,2,25,31,41,21,32,40,4,1.1904761904761905,5,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,4,3,35,38,57,20,31,38,15,1.75,6,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,5,3,31,34,52,27,45,51,4,1.148148148148148,7,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,3,2,29,33,48,23,39,43,6,1.2608695652173914,8,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,6,4,38,41,60,27,41,49,11,1.4074074074074074,9,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,6,3,33,43,56,23,41,44,10,1.434782608695652,10,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,7,3,32,37,52,24,36,45,8,1.3333333333333333,11,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,4,3,35,35,55,15,27,29,20,2.333333333333333,12,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,5,3,27,30,42,20,30,38,7,1.35,13,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,5,3,40,43,64,24,40,45,16,1.6666666666666667,14,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,6,4,47,54,76,26,39,47,21,1.807692307692308,15,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,6,4,52,54,83,26,42,48,26,2.0,16,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,5,4,40,48,65,30,50,56,10,1.3333333333333333,17,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,4,3,33,39,54,26,44,50,7,1.2692307692307692,18,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,3,3,26,28,41,19,30,35,7,1.368421052631579,19,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,3,3,27,34,46,24,41,46,3,1.125,20,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,5,3,46,51,75,29,37,49,17,1.5862068965517242,21,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,6,3,37,45,61,16,28,31,21,2.3125,22,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,5,3,29,31,47,24,36,45,5,1.2083333333333333,23,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,4,3,33,39,53,19,30,36,14,1.736842105263158,24,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,7,4,27,34,45,21,30,38,6,1.2857142857142858,25,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,2,2,17,16,27,9,18,18,8,1.8888888888888888,26,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,4,2,37,41,61,25,41,46,12,1.48,27,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,6,4,34,40,56,14,25,27,20,2.4285714285714284,28,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,4,3,36,40,58,22,29,39,14,1.6363636363636365,29,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,4,3,18,20,29,11,20,21,7,1.6363636363636365,30,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,4,4,32,35,52,23,34,41,9,1.391304347826087,31,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,4,3,32,36,50,20,18,32,12,1.6,32,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,7,4,32,34,53,26,38,47,6,1.2307692307692308,33,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,6,3,34,39,55,26,44,50,8,1.3076923076923077,34,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,6,4,52,62,86,23,41,44,29,2.260869565217391,35,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,6,4,51,62,84,24,32,42,27,2.125,36,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,5,4,24,25,37,20,30,38,4,1.2,37,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,5,2,10,17,18,8,12,16,2,1.25,38,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
3,8,7,5,42,48,67,27,48,52,15,1.5555555555555556,39,erdos_renyi_p0_10,100graph_erdos_renyi_p0_10_8v.g6
